price,location,area,year,rooms,level,state
445 000 zł,"Kraków, Bieńczyce, os. Przy Arce",64 m²,1972,4,4,do remontu
1 479 000 zł,"Kraków, Bieńczyce, os. Na Lotnisku",172 m²,2017,więcej niż 10,3,do zamieszkania
205 000 zł,"Kraków, Bieńczyce, Osiedle Kalinowe","23,85 m²",1970,1,1,do remontu
205 000 zł,"Kraków, Bieńczyce",24 m²,1970,1,1,do remontu
249 000 zł,"Kraków, Bieńczyce, os. Kalinowe",25 m²,1975,1,10,do zamieszkania
249 000 zł,"Kraków, Bieńczyce, os. Kalinowe",25 m²,1970,1,9,do zamieszkania
249 000 zł,"Kraków, Bieńczyce, Kalinowe","23,62 m²",1970,1,9,do zamieszkania
260 000 zł,"Kraków, Bieńczyce",26 m²,1964,1,3,do zamieszkania
269 000 zł,"Kraków, Bieńczyce, os. Józefa Strusia",36 m²,1977,2,4,do zamieszkania
279 900 zł,"Kraków, Bieńczyce, os. Na Lotnisku","36,41 m²",1975,2,4,do zamieszkania
295 000 zł,"Kraków, Bieńczyce, gen. Leopolda Okulickiego",31 m²,2013,1,6,do zamieszkania
299 000 zł,"Kraków, Bieńczyce, os. Albertyńskie","39,25 m²",1963,2,4,do wykończenia
309 000 zł,"Kraków, Bieńczyce","36,60 m²",1970,2,2,do zamieszkania
309 000 zł,"Kraków, Bieńczyce, os. Strusia",37 m²,1970,2,2,do zamieszkania
310 000 zł,"Kraków, Bieńczyce, os. Albertyńskie",37 m²,1970,2,1,do zamieszkania
315 000 zł,"Kraków, Bieńczyce, os. Strusia","36,60 m²",1960,2,2,do zamieszkania
320 000 zł,"Kraków, Bieńczyce","38,19 m²",1973,2,parter,do remontu
340 000 zł,"Kraków, Bieńczyce, os. Albertyńskie","39,51 m²",1975,2,parter,do zamieszkania
345 000 zł,"Kraków, Bieńczyce, os. Józefa Strusia",38 m²,1969,2,7,do zamieszkania
345 000 zł,"Kraków, Bieńczyce, os. Na Lotnisku",37 m²,1979,2,3,do remontu
348 900 zł,"Kraków, Bieńczyce, os. Przy Arce","46,65 m²",1979,2,> 10,do zamieszkania
348 900 zł,"Kraków, Bieńczyce, os. Przy Arce","47,65 m²",1970,2,> 10,do remontu
354 000 zł,"Kraków, Bieńczyce, os. Jagiellońskie",43 m²,1970,2,parter,do zamieszkania
359 000 zł,"Kraków, Bieńczyce",44 m²,1970,2,1,do remontu
360 000 zł,"Kraków, Bieńczyce, osiedle Przy Arce",46 m²,1975,3,2,do zamieszkania
360 000 zł,"Kraków, Bieńczyce",47 m²,1974,3,2,do remontu
379 000 zł,"Kraków, Bieżanów-Prokocim, Kozłówek, ul. prof. Tadeusza Seweryna",49 m²,2000,2,3,do zamieszkania
510 000 zł,"Kraków, Bieżanów-Prokocim, Prokocim, ul. Polonijna",57 m²,2015,3,10,do zamieszkania
439 000 zł,"Kraków, Bieżanów-Prokocim",52 m²,2014,2,1,do zamieszkania
135 000 zł,"Kraków, Bieżanów-Prokocim, Mała Góra",13 m²,2020,1,parter,do zamieszkania
160 000 zł,"Kraków, Bieżanów-Prokocim, Mała Góra",19 m²,2020,1,parter,do zamieszkania
170 000 zł,"Kraków, Bieżanów-Prokocim, ul. Ludwika Rydygiera","66,60 m²",2002,3,1,do zamieszkania
184 500 zł,"Kraków, Bieżanów-Prokocim, Henryka i Karola Czeczów","23,76 m²",2022,2,3,do wykończenia
195 000 zł,"Kraków, Bieżanów-Prokocim","25,60 m²",1975,1,parter,do zamieszkania
208 402 zł,"Kraków, Bieżanów-Prokocim, Henryka i Karola Czeczów","26,38 m²",2022,1,3,do wykończenia
209 000 zł,"Kraków, Bieżanów-Prokocim, Prokocim, ul. Bieżanowska",22 m²,2019,1,2,do zamieszkania
231 000 zł,"Kraków, Bieżanów-Prokocim",32 m²,2020,1,parter,do wykończenia
233 000 zł,"Kraków, Bieżanów-Prokocim, Bieżanów, Agatowa","37,69 m²",2021,2,3,do wykończenia
236 000 zł,"Kraków, Bieżanów-Prokocim, Złocień, Agatowa","32,50 m²",2020,1,4,do wykończenia
243 066 zł,"Kraków, Bieżanów-Prokocim, Agatowa","35,93 m²",2020,2,parter,do wykończenia
243 800 zł,"Kraków, Bieżanów-Prokocim, Henryka i Karola Czeczów","31,46 m²",2022,2,parter,do wykończenia
243 800 zł,"Kraków, Bieżanów-Prokocim, Henryka i Karola Czeczów","31,46 m²",2022,2,1,do wykończenia
243 800 zł,"Kraków, Bieżanów-Prokocim, Henryka i Karola Czeczów","31,44 m²",2022,2,parter,do wykończenia
244 499 zł,"Kraków, Bieżanów-Prokocim, Agatowa","35,98 m²",2020,2,1,do wykończenia
245 000 zł,"Kraków, Bieżanów-Prokocim, ul. Mariana Domagały",34 m²,2020,2,1,do wykończenia
245 000 zł,"Kraków, Bieżanów-Prokocim, Agatowa","36,02 m²",2020,2,2,do wykończenia
245 500 zł,"Kraków, Bieżanów-Prokocim, Agatowa",36 m²,2020,2,2,do wykończenia
249 500 zł,"Kraków, Bieżanów-Prokocim, Bieżanów, Agatowa","34,40 m²",2021,2,3,do wykończenia
249 900 zł,"Kraków, Bieżanów-Prokocim, Bieżanów, Półłanki",35 m²,2021,2,4,do wykończenia
250 000 zł,"Kraków, Bieżanów-Prokocim, Bieżanów, Nefrytowa","34,34 m²",2021,2,5,do wykończenia
250 900 zł,"Kraków, Bieżanów-Prokocim, Bieżanów, Nefrytowa","35,43 m²",2021,2,1,do wykończenia
253 300 zł,"Kraków, Bieżanów-Prokocim, Złocień, Agatowa","34,25 m²",2021,2,3,do wykończenia
254 000 zł,"Kraków, Bieżanów-Prokocim","28,50 m²",2020,1,1,do wykończenia
254 983 zł,"Kraków, Bieżanów-Prokocim, Bieżanów, Agatowa","34,44 m²",2021,2,4,do wykończenia
255 000 zł,"Kraków, Bieżanów-Prokocim, Mała Góra","28,50 m²",2020,1,1,do wykończenia
255 000 zł,"Kraków, Bieżanów-Prokocim","39,23 m²",2022,2,3,do wykończenia
255 000 zł,"Kraków, Bieżanów-Prokocim, Bieżanów, Agatowa","34,12 m²",2021,2,4,do wykończenia
255 000 zł,"Kraków, Bieżanów-Prokocim, Bieżanów, Mariana Domagały","34,34 m²",2021,2,4,do wykończenia
255 000 zł,"Kraków, Bieżanów-Prokocim, Mała Góra","28,50 m²",2022,1,1,do wykończenia
255 833 zł,"Kraków, Bieżanów-Prokocim, Bieżanów, Agatowa","34,34 m²",2021,2,4,do wykończenia
255 833 zł,"Kraków, Bieżanów-Prokocim, Bieżanów","34,34 m²",2021,2,4,do wykończenia
256 000 zł,"Kraków, Bieżanów-Prokocim, Agatowa",38 m²,2020,2,1,do wykończenia
256 421 zł,"Kraków, Bieżanów-Prokocim","37,77 m²",2021,2,4,do zamieszkania
256 578 zł,"Kraków, Bieżanów-Prokocim","34,44 m²",2021,2,2,do wykończenia
257 472 zł,"Kraków, Bieżanów-Prokocim, Złocień, Agatowa","34,56 m²",2021,2,parter,do wykończenia
