price,location,area,year,rooms,level,state
445000,0,64.0,1972,4,4,0
205000,0,23.85,1970,1,1,0
205000,0,24.0,1970,1,1,0
249000,0,25.0,1975,1,10,2
249000,0,25.0,1970,1,9,2
249000,0,23.62,1970,1,9,2
260000,0,26.0,1964,1,3,2
269000,0,36.0,1977,2,4,2
279900,0,36.41,1975,2,4,2
295000,0,31.0,2013,1,6,2
299000,0,39.25,1963,2,4,1
309000,0,36.6,1970,2,2,2
309000,0,37.0,1970,2,2,2
310000,0,37.0,1970,2,1,2
315000,0,36.6,1960,2,2,2
320000,0,38.19,1973,2,0,0
340000,0,39.51,1975,2,0,2
345000,0,38.0,1969,2,7,2
345000,0,37.0,1979,2,3,0
354000,0,43.0,1970,2,0,2
359000,0,44.0,1970,2,1,0
360000,0,46.0,1975,3,2,2
360000,0,47.0,1974,3,2,0
379000,1,49.0,2000,2,3,2
510000,1,57.0,2015,3,10,2
439000,1,52.0,2014,2,1,2
135000,1,13.0,2020,1,0,2
160000,1,19.0,2020,1,0,2
170000,1,66.6,2002,3,1,2
184500,1,23.76,2022,2,3,1
195000,1,25.6,1975,1,0,2
208402,1,26.38,2022,1,3,1
209000,1,22.0,2019,1,2,2
231000,1,32.0,2020,1,0,1
233000,1,37.69,2021,2,3,1
236000,1,32.5,2020,1,4,1
243066,1,35.93,2020,2,0,1
243800,1,31.46,2022,2,0,1
243800,1,31.46,2022,2,1,1
243800,1,31.44,2022,2,0,1
244499,1,35.98,2020,2,1,1
245000,1,34.0,2020,2,1,1
245000,1,36.02,2020,2,2,1
245500,1,36.0,2020,2,2,1
249500,1,34.4,2021,2,3,1
249900,1,35.0,2021,2,4,1
250000,1,34.34,2021,2,5,1
250900,1,35.43,2021,2,1,1
253300,1,34.25,2021,2,3,1
254000,1,28.5,2020,1,1,1
254983,1,34.44,2021,2,4,1
255000,1,28.5,2020,1,1,1
255000,1,39.23,2022,2,3,1
255000,1,34.12,2021,2,4,1
255000,1,34.34,2021,2,4,1
255000,1,28.5,2022,1,1,1
255833,1,34.34,2021,2,4,1
255833,1,34.34,2021,2,4,1
256000,1,38.0,2020,2,1,1
256421,1,37.77,2021,2,4,2
256578,1,34.44,2021,2,2,1
257472,1,34.56,2021,2,0,1
259000,1,34.78,2021,2,0,1
259111,1,34.78,2021,2,0,1
259111,1,34.78,2021,2,0,1
259500,1,36.0,2021,2,4,1
262000,1,36.0,2021,2,0,1
